TC001_008,BBL,0021000090,0607670161871
TC001_008,KBNK,1345914852,6768538344466
TC001_008,KTB,2254439361,4162666371184
TC001_008,JPMC,8277960861,2082961627610
TC001_008,TTB,2319368538,2471397259216
TC001_008,SCB,777877777772,7235543621642
TC001_008,BBL,0021000090,0607670161871
TC001_008,KBNK,1345914852,6768538344466
TC001_008,KTB,2254439361,4162666371184
TC001_008,JPMC,8277960861,2082961627610
TC001_008,TTB,2319368538,2471397259216
TC001_008,SCB,777877777772,7235543621642
TC001_008,BAY,4825522294,3088735747590
TC001_008,BOA,0271000036,3601814462626
TC001_008,GSB,1863336292,8428651968622
TC001_008,BOC,0190726719,6455958556784
TC001_008,KKP,4211615693,0842136547863
TC001_008,ICBC,0700001011,2107643014332
TC001_008,BAY,4825522294,3088735747590
TC001_008,BOA,0271000036,3601814462626
TC001_008,GSB,1863336292,8428651968622
TC001_008,BOC,0190726719,6455958556784
TC001_008,KKP,4211615693,0842136547863
TC001_008,ICBC,0700001011,2107643014332
TC001_008,TCRB,0717100002,8295369812369
TC001_008,LHB,0450970097,7991486764133
TC001_008,TSCO,5276426448,6257893597612
TC001_008,CMBT,9992150395,9489526624327
TC001_008,GHB,6814640500,1446412859327
TC001_008,TCRB,0717100002,8295369812369
TC001_008,LHB,0450970097,7991486764133
TC001_008,TSCO,5276426448,6257893597612
TC001_008,CMBT,9992150395,9489526624327
TC001_008,GHB,6814640500,1446412859327
